"","IBNR","CL","ODP","EV","DP"
"132",7907,7822,7770.97256439229,7765.7385189527,8151.7531827556
"133",7545,7754,7683.80339472913,7686.77017059471,8067.42624429061
"134",8868,7827,7763.95561408571,7746.76191374656,8171.47161200919
"135",8301,7124,7092.00391023934,7033.51759511918,7431.22984033392
"136",8915,8479,8405.92695030886,8419.35510480008,8869.73066806525
"137",9238,8365.5,8341.4832187047,8335.03632252513,8480.50534656802
"138",7476,7873.5,7855.6968740677,7839.19421194608,8203.6888826327
"139",7275,6845,6836.81988308617,6823.01770842044,7222.88884459406
"140",8629,8390.5,8289.19317221789,8267.40871571751,8650.78605641605
"141",7545,7365,7317.36635996207,7278.97609070796,7420.36080633609
"142",9462,8153.5,8115.25080227733,8101.94996476816,8537.40860345658
"143",8857,7941.5,7940.06418343032,7911.38539543912,8009.0118752181
"144",8391,7818.5,7822.88682529538,7776.8803035464,8062.02140068549
"145",6864,7858,7835.30219102008,7843.7946281032,8040.21413950994
"146",7520,7133.5,7077.66235039405,7069.38867887961,7683.44049758758
"147",7711,7834,7791.69993332432,7795.7573569186,8112.40717516013
"148",7965,7502,7471.56198595543,7475.2292671041,7896.95148253786
"149",7716,7481,7479.72093741894,7439.02132549373,7796.72292177322
"150",7455,7046.5,7020.77139406426,7025.85702446755,7230.76619193395
"151",7453,7453.5,7486.20314265667,7466.18043646581,7741.08317929743
"152",8902,8228,8199.37403910941,8120.34617005348,8915.20945071572
"153",7766,8437.5,8435.85947428803,8388.49610317466,8542.54423134036
"154",8430,7976.5,7907.36148246108,7946.37344112139,8239.85398380668
"155",7185,7559,7543.92055003293,7530.31073491748,7568.02537026529
"156",8482,8509.5,8503.54726481889,8475.52117854956,8623.12892676895
"157",7652,7684.5,7662.8443547726,7661.74234227338,7948.0209630366
"158",7044,7640,7621.68571675802,7614.48454906547,7942.64147547131
"159",8504,9086,9069.50775818855,9106.72490007146,9335.17252978613
"160",8039,8007.5,7999.46704682005,7992.77316943184,8192.8647821271
"161",8921,7570.5,7537.70791480794,7557.81595916551,8275.0195996562
"162",9202,8981,8941.2055896004,8907.51655105714,9273.21965268419
"163",8850,6915,6922.65453066556,6908.50877030302,7181.89945906976
"164",7924,8296,8261.1390962214,8272.74126828814,8578.10566007659
"165",7570,7984,7942.77324370487,7946.45857410247,8257.5732543734
"166",6947,8405,8373.5512463387,8363.22739712797,8303.00624785773
"167",9699,7197.5,7164.70290334569,7151.20077732637,7563.76066725118
"168",7378,7731,7685.90128382667,7686.24028667332,7985.91417931324
"169",8316,8133.5,8116.80182061504,8111.99457106359,8412.77436819324
